,FAMILLE,CLI_ID,counts
0,CAPILLAIRES,980380733.6460366,2.4744707860722763
1,HYGIENE,980983448.988755,4.618169708272279
2,MAQUILLAGE,980594897.5803379,3.460175615820965
3,MULTI FAMILLES,976578679.2068965,1.0344827586206897
4,PARFUMAGE,981160832.1802098,2.0194400466896463
5,SANTE NATURELLE,993646584.0,1.0
6,SOINS DU CORPS,980926207.0038563,2.35109435464136
7,SOINS DU VISAGE,980397510.479642,3.3998121649475115
8,SOLAIRES,977900474.3109834,1.6371591153102856
