UNIVERS,,UNIVERS,LIBELLE,occurence
MAQ_YEUX Autres,856,MAQ_YEUX Autres,ETINCELL SOLEIL/CUIVR A/T NOEL11 LU3 7ML,1
MAQ_YEUX Crayons,857,MAQ_YEUX Crayons,"CRAY KHOL NOIR 81 LUM4 1,3gr",42421
MAQ_YEUX Eyeliner,905,MAQ_YEUX Eyeliner,FEUTRE LINER NOIR 01 CN3 1.2G,15489
MAQ_YEUX Fard,923,MAQ_YEUX Fard,FAP ENLUMINEUR B LANC NEIGE 2G LUM 4 VPM,4950
MAQ_YEUX Mascara Basic,1068,MAQ_YEUX Mascara Basic,"MASCARA BEAUTE NOIR 81 LUM4 6,5ML",11238
MAQ_YEUX Mascara Elixir,1077,MAQ_YEUX Mascara Elixir,MASCARA SOIN NOIR01 2014 CN3 9ML,6178
MAQ_YEUX Mascara SexyPulp,1080,MAQ_YEUX Mascara SexyPulp,MASC SEXYPULP NOIR 01 CN3 9ML,45666
MAQ_YEUX Mascara Specifique,1083,MAQ_YEUX Mascara Specifique,MASCARA DEPLOYE NOIR 01 CN3 9ML,17414
MAQ_YEUX Mascara Vertige,1098,MAQ_YEUX Mascara Vertige,MASCARA VOL VERTIGE NOIR CN3 9ML,32410
MAQ_YEUX Sourcils,1101,MAQ_YEUX Sourcils,CRAYON SOURCILS BRUN CN3 1.1G,8537
MAQ_YEUX Stylos,1105,MAQ_YEUX Stylos,PORTE MINE NOIR 01 CN3 0.3G,63371
MULTI FAMILLES,1115,MULTI FAMILLES,2010 KIT MAQ PDR,30
PARF_APRES RASAGE,1116,PARF_APRES RASAGE,ARA SPLASH HOGGAR 100ML,5548
PARF_EAUX AUTRES,1119,PARF_EAUX AUTRES,EAU FRAICHE P/API 75ML 2003,32
PARF_EAUX DE COLOGNE,1121,PARF_EAUX DE COLOGNE,FRAICHEUR CHEVREF EDC 125ML,40188
PARF_EAUX EDIT NOEL ETE,1126,PARF_EAUX EDIT NOEL ETE,EDT  75ML COLLECTION ETE  2014,12408
PARF_EAUX HOMMES,1130,PARF_EAUX HOMMES,EDT VAPO 75ML HOGGAR,16815
PARF_EAUX MONOI,1137,PARF_EAUX MONOI,EDT EAU DES LAGONS MONOI DE TAHITI 100ML,16571
PARF_EAUX PARFUMS,1139,PARF_EAUX PARFUMS,EDT  UMAJ  100ML  CERISIERS EN FLEURS,17268
PARF_EAUX PLAISIR NATURE,1163,PARF_EAUX PLAISIR NATURE,EDT FRAMBOISE PN 20ML,24032
PARF_PARF ET EAU DE PARF,1190,PARF_PARF ET EAU DE PARF,EDP EVIDENCE 50ML RELIFTING,30093
SOINS CORPS ANTI-AGE,1237,SOINS CORPS ANTI-AGE,CREME MAINS ANTIRIDES RC T50ml,5455
SOL_APRES SOLEIL,1240,SOL_APRES SOLEIL,LAIT 3EN1 PROTECTYL AP SOL FL150,61617
SOL_AUTOBRONZANTS,1245,SOL_AUTOBRONZANTS,AB SVA JAMBES D'ETE  T75 INTER,8326
SOL_PROTECTEURS SOLAIRES,1253,SOL_PROTECTEURS SOLAIRES,MAXI SPRAY FL200ML VPM,4889
VIS_CJOUR AAAR,1268,VIS_CJOUR AAAR,REPACK AR BIEN JOUR RC2 P 50ml,24457
VIS_CJOUR Autres,1303,VIS_CJOUR Autres,CR ECLAT INOSITOL P40ml,12
VIS_CJOUR BIO,1308,VIS_CJOUR BIO,BIO NUTR VISAGE CULT BIO2 50ML,3347
VIS_CJOUR Jeunes Specifique,1311,VIS_CJOUR Jeunes Specifique,CR JOUR PX/MIX HYDRA/VEG P50ML,19845
VIS_CJOUR PUR,1328,VIS_CJOUR PUR,CR JOUR/NUIT PC pot50,14117
VIS_CNUIT AAAR,1336,VIS_CNUIT AAAR,REPACK AR BIEN NUIT RC2 P 50ml,11880
