LIBELLE,CLI_ID
CR ANTIAGE NT ELIXIR7.9 P40ml,9481
CR CORPS FONDANTE P150ml NOEL1,3019
CR ECLAT INOSITOL P40ml,12
CR FOND JOUR SPF20 AAG T50ml,2413
CR FONDAMENT PEAU SECHE  AAG50,6541
CR FONDAMENTALE JOUR AAG 50ml,16207
CR HYDRATAT SPF25 HYDR/VEG 50ML,7378
CR J PX N a M ELIXIR 7.9 P40ML,14239
CR J SERUM FONDAMEN AAG FL30ml,8290
CR JOUR 1e RIDE HYDRA/VEG T30ML,1833
CR JOUR GELEE PC P50ml,3
CR JOUR NUTRI NUT/VEG P50ML,12590
CR JOUR PX/MIX HYDRA/VEG P50ML,19845
CR JOUR PX/SEC HYDRA/VEG P50ML,13787
CR JOUR SEBOSPECIFIC POT 50 ML,1474
CR JOUR SEBOSPECIFIC T40ML,476
CR JOUR/NUIT PC pot50,14117
CR JOUR/NUIT PC tub40,1669
CR JR PARF BIO.SPE AC.SENT.50ML,9441
CR MAINS AVOINE PN2 FP200ML,1020
CR NUIT NUTRI INTENSE NUT/VEG P50ML,4529
CR REGENERAT J/N50ml PURE CAL,10494
CR RESPLENDISS JR SPF20 SV50ml,5760
CR SECURIT EXT IP50 T 75ML PRO VEG,2422
CR TT BXJRS YRIA SOL/CLAIR 50ML,1
"CRAY ARGENT 91 HIV14 ANI LU4 3,25G",791
"CRAY FAP JUMB UHT BLEU/NUI 51 LU4 3,25G",1872
"CRAY FAP JUMB UHT BRUN/DORE 71 LU4 3,25G",1345
"CRAY FAP JUMB UHT ROSE/TAUP11 LU4 3,25G",1720
"CRAY FAP JUMB UHT VIOL/ELECT41 LU4 3,25G",1250
"CRAY KHOL BLEU NUIT 51 LUM4 1,3gr",10055
"CRAY KHOL BRUN 71 LUM4 1,3gr",12102
"CRAY KHOL NOIR 81 LUM4 1,3gr",42421
"CRAY REG ANTHRAC/PRO HIV13 ANI LU4 3,25G",981
"CRAY REG BLEU MEDIT ETE14 ANI LU4 3,25G",1969
"CRAY REG BLEU ROI ETE14 ANI LU4 3,25G",1572
"CRAY REG BRUN CUIVRE ETE14 ANI LU4 3,25G",672
"CRAY REG EUCAL ETE13 ANI LU4 3,25G",310
"CRAY REG JAUNE CITR ETE14 ANI LU4 3,25G",465
"CRAY REG LYS/NACR IT/COL FEV14 LU4 3,25G",1315
"CRAY REG MAUV/ANCIEN HIV13 ANI LU4 3,25G",666
"CRAY REG MENTHE IT/COL FEV14 LU4 3,25G",1235
"CRAY REG OPALE DORE  NOEL12 L4 ANI 3,25G",164
"CRAY REG ORCHROS ETE13 ANI LU4 3,25G",287
"CRAY REGARD CUIVRE NOEL11 A/T LU3 2,69G",2
CRAY REGARD PAILLET/ARGENTCN3 1.12G,1874
CRAY REGARD PAILLET/OR CN3 1.12G,1126
CRAY REGARD ROS/PAILLET CN3 1.12G,928
"CRAY VERT 62 HIV14 ANIM LU4 3,25G",312
CRAYON BLANC MANUCURE CN3 1.1G,2173
CRAYON KHOL BRUN LUM3 1.2G,2
CRAYON KHOL NOIR LUM3 1.2G,2
CRAYON LEVR BOIS/ROSE CN3 1G,943
CRAYON LEVR NUDE/BEIGE CN3 1G,930
CRAYON LEVR NUDE/ROSE CN3 1G,34
CRAYON LEVRES BRUN CN3 1G,1589
CRAYON LEVRES MAUVE CN3 1G,1174
CRAYON LEVRES ORANGE CN3 1G,60
CRAYON LEVRES ROSE CN3 1G,1138
CRAYON LEVRES ROUGE CN3 1G,1049
CRAYON REGARD ANTHRACIT CN3 1.3G,4993
CRAYON REGARD BLANC CN3 1.3G,3350
CRAYON REGARD BLEU CN3 1.3G,5385
CRAYON REGARD BRONZE CN3 1.3G,962
CRAYON REGARD BRUN CN3 1.3G,7543
CRAYON REGARD CUIVRE CN3 1.3G,1353
"CRAYON REGARD INDIGO NOEL12 L4 ANI 3,25G",172
CRAYON REGARD NOIR CN3 1.3G,14513
CRAYON REGARD PRUNE CN3 1.3G,4134
CRAYON REGARD VERT CN3 1.3G,4324
CRAYON SOURCILS BLOND CN3 1.1G,3346
CRAYON SOURCILS BRUN CN3 1.1G,8537
CRAYON SOURCILS CENDRE CN3 1.1G,5816
CRAYON SOURCILS CHATAIN CN3 1.1G,6375
CREME AR IP30 PTYL V 50ml,4070
CREME ARNICA ESSENTIEL 75 ML,1
CREME DCHE PN POIRE CARAMEL 400 ML,10523
CREME DEMAQ 3 THES T150ml,43
CREME FOND AVOINE PN200ML VPM,462
